conv_id,original_labels,top_3_emotions_responses,top_1_emotion_responses,position_of_original_label
hit:7991_conv:15982,anxious,"['anxious', 'sad', 'hopeful']",anxious,1.0
hit:9096_conv:18192,disappointed,"['misunderstood', 'sad', 'disappointed']",misunderstood,3.0
hit:10271_conv:20543,trusting,"['annoyed', 'disappointed', 'hopeful']",annoyed,
hit:1188_conv:2377,guilty,"['guilty', ' ashamed', ' anxious']",guilty,1.0
hit:1210_conv:2420,annoyed,"['annoyed', 'disappointed', 'concerned']",annoyed,1.0
hit:3720_conv:7440,content,"['nostalgic', 'hopeful', 'content']",nostalgic,3.0
hit:735_conv:1471,surprised,"['grateful', 'excited', 'hopeful']",grateful,
hit:9096_conv:18192,disappointed,"['devastated', 'sad', ' hopeful']",devastated,
hit:957_conv:1915,terrified,"['afraid', 'anxious', 'hopeful']",afraid,
hit:11074_conv:22148,content,"['content', 'relaxed', 'hopeful']",content,1.0
hit:11185_conv:22370,terrified,"['fearful', 'surprised', 'anxious']",fearful,
hit:2201_conv:4403,impressed,"['proud', 'excited', 'hopeful']",proud,
hit:6343_conv:12687,furious,"['angry', 'annoyed', 'surprised']",angry,
hit:8645_conv:17291,excited,"['excited', 'hopeful', 'joyful']",excited,1.0
hit:8741_conv:17482,sentimental,"['nostalgic', ' proud', ' sentimental']",nostalgic,3.0
hit:9357_conv:18715,proud,"['proud', 'happy', 'sad']",proud,1.0
hit:11185_conv:22370,terrified,"['afraid', 'surprised', 'sad']",afraid,
hit:5064_conv:10128,grateful,"['disappointed', 'sad', 'hopeful']",disappointed,
hit:5364_conv:10729,jealous,"['jealous', 'hopeful', 'envious']",jealous,1.0
hit:8225_conv:16451,angry,"['frustrated', ' annoyed', ' amused']",frustrated,
hit:8489_conv:16978,anxious,"['anxious', 'sad', ' hopeful']",anxious,1.0
hit:8590_conv:17180,sentimental,"['nostalgic', 'hopeful', 'content']",nostalgic,
hit:973_conv:1947,surprised,"['surprised', 'excited', 'grateful']",surprised,1.0
hit:9905_conv:19811,confident,"['excited', 'proud', 'hopeful']",excited,
hit:2627_conv:5254,grateful,"['grateful', ' relieved', ' caring']",grateful,1.0
hit:4262_conv:8524,apprehensive,"['anxious', 'skeptical', 'relieved']",anxious,
hit:5064_conv:10128,grateful,"['grateful', 'proud', 'hopeful']",grateful,1.0
hit:5548_conv:11097,sentimental,"['proud', ' sentimental', ' grateful']",proud,2.0
hit:6120_conv:12241,annoyed,"['frustrated', 'annoyed', 'sad']",frustrated,2.0
hit:6491_conv:12983,furious,"['angry', 'annoyed', 'surprised']",angry,
hit:812_conv:1625,disgusted,"['disgusted', ' surprised', ' horrified']",disgusted,1.0
hit:8717_conv:17435,prepared,"['excited', 'annoyed', 'prepared']",excited,3.0
hit:10175_conv:20350,faithful,"['afraid', 'confident', 'surprised']",afraid,
hit:11805_conv:23611,joyful,"['excited', 'happy', 'hopeful']",excited,
hit:1425_conv:2851,disappointed,"['disappointed', 'sad', 'hopeful']",disappointed,1.0
hit:2655_conv:5310,sentimental,"['nostalgic', ' emotional', ' surprised']",nostalgic,
hit:3370_conv:6741,anticipating,"['excited', ' hopeful', ' anticipating']",excited,3.0
hit:6043_conv:12087,surprised,"['surprised', 'grateful', 'excited']",surprised,1.0
hit:6457_conv:12915,surprised,"['surprised', 'excited', 'happy']",surprised,1.0
hit:8717_conv:17435,prepared,"['excited', ' hopeful', ' proud']",excited,
hit:11150_conv:22300,devastated,"['sad', 'surprised', 'grateful']",sad,
hit:11203_conv:22407,devastated,"['sad', 'grateful', 'surprised']",sad,
hit:11406_conv:22813,jealous,"['jealous', 'excited', 'content']",jealous,1.0
hit:1227_conv:2455,embarrassed,"['embarrassed', 'anxious', 'surprised']",embarrassed,1.0
hit:2751_conv:5502,jealous,"['annoyed', ' jealous', ' amused']",annoyed,2.0
hit:3032_conv:6064,content,"['content', 'hopeful', 'relieved']",content,1.0
hit:3289_conv:6579,devastated,"['sad', 'disappointed', 'lonely']",sad,
hit:6457_conv:12915,surprised,"['surprised', 'excited', 'hopeful']",surprised,1.0
hit:10415_conv:20830,afraid,"['anxious', 'excited', 'hopeful']",anxious,
hit:12308_conv:24617,anticipating,"['devastated', ' anxious', ' hopeful']",devastated,
hit:3032_conv:6064,content,"['content', 'relieved', 'hopeful']",content,1.0
hit:3036_conv:6072,trusting,"['grateful', 'confident', 'proud']",grateful,
hit:3202_conv:6404,angry,"['angry', 'sad', 'grateful']",angry,1.0
hit:3348_conv:6696,nostalgic,"['sad', 'devastated', 'nostalgic']",sad,3.0
hit:4151_conv:8303,joyful,"['excited', 'hopeful', 'content']",excited,
hit:5253_conv:10507,trusting,"['ashamed', ' trusting', ' hopeful']",ashamed,2.0
hit:10700_conv:21401,sentimental,"['loved', 'excited', 'hopeful']",loved,
hit:11352_conv:22704,surprised,"['excited', 'hopeful', 'content']",excited,
hit:177_conv:354,impressed,"['proud', 'impressed', 'excited']",proud,2.0
hit:4371_conv:8742,surprised,"['excited', ' proud', ' hopeful']",excited,
hit:5680_conv:11361,sentimental,"['sad', 'sympathetic', 'hopeful']",sad,
hit:5874_conv:11748,guilty,"['guilty', 'sad', 'anxious']",guilty,1.0
hit:8426_conv:16852,angry,"['angry', 'annoyed', 'hopeful']",angry,1.0
hit:11352_conv:22704,surprised,"['happy', 'relieved', 'content']",happy,
hit:11607_conv:23215,devastated,"['nostalgic', 'hopeful', 'excited']",nostalgic,
hit:4417_conv:8835,grateful,"['grateful', ' relieved', ' surprised']",grateful,1.0
hit:4635_conv:9270,excited,"['excited', ' hopeful', ' anxious']",excited,1.0
hit:4920_conv:9840,excited,"['proud', 'hopeful', 'grateful']",proud,
hit:5260_conv:10520,joyful,"['excited', 'happy', 'proud']",excited,
hit:7387_conv:14775,excited,"['excited', 'hopeful', 'joyful']",excited,1.0
hit:7977_conv:15955,anticipating,"['excited', 'hopeful', 'nostalgic']",excited,
hit:4635_conv:9270,excited,"['excited', ' hopeful', ' surprised']",excited,1.0
hit:5890_conv:11781,anticipating,"['excited', 'hopeful', 'anticipating']",excited,3.0
hit:7138_conv:14276,impressed,"['impressed', 'happy', 'hopeful']",impressed,1.0
hit:7901_conv:15802,devastated,"['devastated', 'sad', 'nostalgic']",devastated,1.0
hit:7929_conv:15859,ashamed,"['guilty', 'surprised', 'disappointed']",guilty,
hit:8603_conv:17206,surprised,"['excited', 'hopeful', 'grateful']",excited,
hit:8853_conv:17706,apprehensive,"['anxious', 'afraid', 'pessimistic']",anxious,
hit:9668_conv:19336,annoyed,"['annoyed', 'frustrated', 'disgusted']",annoyed,1.0
hit:10141_conv:20283,proud,"['excited', 'proud', 'hopeful']",excited,2.0
hit:11832_conv:23665,confident,"['proud', 'excited', 'hopeful']",proud,
hit:2552_conv:5105,afraid,"['terrified', ' surprised', ' relieved']",terrified,
hit:5702_conv:11405,furious,"['angry', ' anxious', ' frustrated']",angry,
hit:7929_conv:15859,ashamed,"['surprised', ' grateful', ' amused']",surprised,
hit:9413_conv:18826,terrified,"['worried', 'sad', 'anxious']",worried,
hit:9863_conv:19726,trusting,"['grateful', 'sad', 'loving']",grateful,
hit:9971_conv:19943,prepared,"['excited', 'hopeful', 'confident']",excited,
hit:10011_conv:20023,trusting,"['grateful', ' loving', ' content']",grateful,
hit:10492_conv:20985,anticipating,"['excited', ' hopeful', ' grateful']",excited,
hit:11014_conv:22029,sad,"['sad', 'comforting', 'hopeful']",sad,1.0
hit:1800_conv:3600,sad,"['sad', 'angry', 'helpless']",sad,1.0
hit:3901_conv:7803,confident,"['confident', 'prepared', 'hopeful']",confident,1.0
hit:6221_conv:12442,afraid,"['anxious', 'worried', 'relieved']",anxious,
hit:11014_conv:22029,sad,"['excited', ' joyful', ' grateful']",excited,
hit:12047_conv:24095,disgusted,"['disgusted', 'annoyed', 'relieved']",disgusted,1.0
hit:2324_conv:4649,anxious,"['anxious', ' hopeful', ' caring']",anxious,1.0
hit:5447_conv:10895,proud,"['proud', ' excited', ' grateful']",proud,1.0
hit:6389_conv:12778,joyful,"['excited', ' grateful', ' hopeful']",excited,
hit:6658_conv:13316,excited,"['proud', 'hopeful', 'content']",proud,
hit:880_conv:1760,anxious,"['anxious', 'excited', 'relieved']",anxious,1.0
hit:9030_conv:18061,anxious,"['anxious', ' annoyed', ' embarrassed']",anxious,1.0
hit:10940_conv:21880,joyful,"['proud', 'excited', 'happy']",proud,
hit:11534_conv:23068,ashamed,"['embarrassed', 'annoyed', 'grateful']",embarrassed,
hit:3232_conv:6464,disgusted,"['annoyed', 'angry', 'disgusted']",annoyed,3.0
hit:381_conv:763,guilty,"['guilty', ' remorseful', ' grateful']",guilty,1.0
hit:4288_conv:8576,proud,"['proud', 'excited', 'hopeful']",proud,1.0
hit:5151_conv:10302,excited,"['excited', ' proud', ' hopeful']",excited,1.0
hit:5408_conv:10817,terrified,"['sad', ' hopeful', ' anxious']",sad,
hit:6658_conv:13316,excited,"['excited', 'proud', 'hopeful']",excited,1.0
hit:11830_conv:23660,jealous,"['jealous', 'happy', 'disappointed']",jealous,1.0
hit:12388_conv:24776,jealous,"['envious', 'excited', 'hopeful']",envious,
hit:2015_conv:4031,nostalgic,"['nostalgic', 'excited', 'surprised']",nostalgic,1.0
hit:2631_conv:5262,angry,"['angry', ' annoyed', ' disappointed']",angry,1.0
hit:5151_conv:10302,excited,"['excited', ' proud', ' content']",excited,1.0
hit:7134_conv:14268,faithful,"['hopeful', ' anxious', ' caring']",hopeful,
hit:8512_conv:17025,furious,"['angry', 'sad', 'disgusted']",angry,
hit:9999_conv:19998,terrified,"['afraid', 'surprised', 'anxious']",afraid,
hit:10004_conv:20008,surprised,"['grateful', ' joyful', ' surprised']",grateful,3.0
hit:12388_conv:24776,jealous,"['excited', 'impressed', 'proud']",excited,
hit:1712_conv:3424,surprised,"['surprised', 'grateful', 'relieved']",surprised,1.0
hit:2069_conv:4138,angry,"['angry', 'annoyed', 'disappointed']",angry,1.0
hit:3220_conv:6441,prepared,"['surprised', 'content', 'relieved']",surprised,
hit:348_conv:697,guilty,"['guilty', ' grateful', ' content']",guilty,1.0
hit:3969_conv:7938,proud,"['proud', ' envious', ' frustrated']",proud,1.0
hit:5867_conv:11735,disappointed,"['angry', 'sad', 'disappointed']",angry,3.0
hit:10850_conv:21700,trusting,"['trusting', ' proud', ' grateful']",trusting,1.0
hit:11854_conv:23709,sentimental,"['nostalgic', 'sentimental', 'sad']",nostalgic,2.0
hit:1228_conv:2457,impressed,"['impressed', 'grateful', 'hopeful']",impressed,1.0
hit:1237_conv:2475,disgusted,"['disgusted', ' shocked', ' surprised']",disgusted,1.0
hit:2069_conv:4138,angry,"['annoyed', 'grumpy', 'surprised']",annoyed,
hit:5664_conv:11329,excited,"['excited', 'hopeful', 'content']",excited,1.0
hit:5980_conv:11961,trusting,"['excited', ' nostalgic', ' joyful']",excited,
hit:6935_conv:13871,guilty,"['sad', 'disappointed', 'hopeful']",sad,
hit:2663_conv:5326,anxious,"['excited', 'hopeful', 'happy']",excited,
hit:3282_conv:6565,afraid,"['afraid', 'disgusted', 'excited']",afraid,1.0
hit:4131_conv:8263,afraid,"['anxious', 'afraid', 'nervous']",anxious,2.0
hit:4247_conv:8495,hopeful,"['anxious', 'stressed', 'hopeful']",anxious,3.0
hit:5227_conv:10454,embarrassed,"['embarrassed', ' surprised', ' ashamed']",embarrassed,1.0
hit:8730_conv:17461,jealous,"['hopeful', 'encouraged', 'content']",hopeful,
hit:9298_conv:18596,devastated,"['sad', 'disappointed', 'hopeful']",sad,
hit:11759_conv:23518,anticipating,"['anxious', 'sad', 'relieved']",anxious,
hit:3634_conv:7268,angry,"['disappointed', 'sad', 'hopeful']",disappointed,
hit:6170_conv:12340,surprised,"['grateful', ' surprised', ' hopeful']",grateful,2.0
hit:771_conv:1542,caring,"['excited', 'hopeful', 'nostalgic']",excited,
hit:7824_conv:15649,anticipating,"['confused', 'surprised', 'curious']",confused,
hit:8629_conv:17258,annoyed,"['angry', ' annoyed', ' hopeful']",angry,2.0
hit:9864_conv:19728,angry,"['devastated', ' sad', ' hopeful']",devastated,
hit:12133_conv:24266,impressed,"['proud', 'surprised', 'grateful']",proud,
hit:241_conv:482,nostalgic,"['nostalgic', 'guilty', 'hopeful']",nostalgic,1.0
hit:2821_conv:5642,lonely,"['terrified', 'anxious', 'curious']",terrified,
hit:4475_conv:8951,annoyed,"['annoyed', 'frustrated', 'surprised']",annoyed,1.0
hit:5162_conv:10325,afraid,"['afraid', 'anxious', 'relieved']",afraid,1.0
hit:7824_conv:15649,anticipating,"['anxious', ' hopeful', ' prepared']",anxious,
hit:9284_conv:18568,disappointed,"['disappointed', 'sad', 'hopeful']",disappointed,1.0
hit:9879_conv:19759,guilty,"['guilty', 'sad', 'anxious']",guilty,1.0
hit:10066_conv:20132,jealous,"['angry', 'frustrated', 'hopeful']",angry,
hit:1357_conv:2715,angry,"['angry', ' disappointed', ' annoyed']",angry,1.0
hit:2684_conv:5368,jealous,"['angry', 'frustrated', 'disappointed']",angry,
hit:453_conv:907,apprehensive,"['anxious', 'hopeful', 'anticipating']",anxious,
hit:4634_conv:9268,angry,"['surprised', 'angry', 'disgusted']",surprised,2.0
hit:5476_conv:10953,disgusted,"['disgusted', 'annoyed', 'hopeful']",disgusted,1.0
hit:8384_conv:16768,lonely,"['lonely', 'neutral', 'sad']",lonely,1.0
hit:163_conv:327,guilty,"['guilty', 'embarrassed', 'relieved']",guilty,1.0
hit:1994_conv:3989,grateful,"['grateful', 'surprised', 'hopeful']",grateful,1.0
hit:2341_conv:4683,jealous,"['jealous', 'sad', 'annoyed']",jealous,1.0
hit:3133_conv:6266,surprised,"['excited', 'hopeful', 'surprised']",excited,3.0
hit:4242_conv:8485,disgusted,"['disgusted', 'annoyed', 'surprised']",disgusted,1.0
hit:4634_conv:9268,angry,"['devastated', 'angry', 'sad']",devastated,2.0
hit:5316_conv:10633,anticipating,"['excited', 'hopeful', 'content']",excited,
hit:6930_conv:13861,impressed,"['proud', ' surprised', ' envious']",proud,
hit:1725_conv:3450,content,"['sad', ' hopeful', ' grateful']",sad,
hit:1981_conv:3962,disgusted,"['disgusted', 'excited', 'surprised']",disgusted,1.0
hit:2306_conv:4613,proud,"['proud', ' impressed', ' grateful']",proud,1.0
hit:2656_conv:5312,excited,"['excited', 'hopeful', 'proud']",excited,1.0
hit:4242_conv:8485,disgusted,"['disgusted', 'annoyed', 'surprised']",disgusted,1.0
hit:5855_conv:11710,terrified,"['terrified', 'anxious', 'grateful']",terrified,1.0
hit:6964_conv:13929,grateful,"['grateful', ' proud', ' content']",grateful,1.0
hit:948_conv:1896,hopeful,"['devastated', 'sad', 'angry']",devastated,
hit:11109_conv:22219,content,"['proud', 'excited', 'content']",proud,3.0
hit:1429_conv:2859,surprised,"['grateful', ' proud', ' loving']",grateful,
hit:3926_conv:7853,sad,"['sad', 'prepared', 'content']",sad,1.0
hit:4431_conv:8863,guilty,"['ashamed', 'excited', 'annoyed']",ashamed,
hit:5224_conv:10448,anticipating,"['excited', 'hopeful', 'content']",excited,
hit:6629_conv:13258,caring,"['disappointed', 'annoyed', 'sad']",disappointed,
hit:730_conv:1461,annoyed,"['frustrated', ' disappointed', ' annoyed']",frustrated,3.0
hit:10833_conv:21666,apprehensive,"['anxious', 'relieved', 'grateful']",anxious,
hit:11272_conv:22544,trusting,"['faithful', ' hopeful', ' anxious']",faithful,
hit:3206_conv:6413,trusting,"['excited', ' hopeful', ' anxious']",excited,
hit:3926_conv:7853,sad,"['hopeful', ' disappointed', ' anxious']",hopeful,
hit:5840_conv:11680,annoyed,"['angry', 'annoyed', 'frustrated']",angry,2.0
hit:6322_conv:12645,excited,"['excited', ' grateful', ' joyful']",excited,1.0
hit:8977_conv:17954,lonely,"['sad', 'lonely', 'grateful']",sad,2.0
hit:2172_conv:4344,sad,"['sad', 'surprised', 'grateful']",sad,1.0
hit:2210_conv:4420,surprised,"['excited', ' proud', ' curious']",excited,
hit:3029_conv:6058,impressed,"['impressed', 'grateful', 'surprised']",impressed,1.0
hit:4649_conv:9299,apprehensive,"['anxious', 'nervous', 'hopeful']",anxious,
hit:495_conv:991,grateful,"['stressed', 'anxious', 'relieved']",stressed,
hit:6176_conv:12353,joyful,"['excited', 'happy', 'nostalgic']",excited,
hit:727_conv:1454,prepared,"['anxious', 'prepared', 'curious']",anxious,2.0
hit:10326_conv:20653,apprehensive,"['excited', ' anxious', ' hopeful']",excited,
hit:10866_conv:21732,embarrassed,"['embarrassed', 'disgusted', 'anxious']",embarrassed,1.0
hit:493_conv:987,excited,"['proud', ' excited', ' content']",proud,2.0
hit:4961_conv:9922,faithful,"['proud', 'faithful', 'empathetic']",proud,2.0
hit:7296_conv:14593,surprised,"['excited', ' proud', ' jealous']",excited,
hit:8378_conv:16756,caring,"['grateful', 'excited', 'hopeful']",grateful,
hit:9317_conv:18635,proud,"['impressed', 'hopeful', 'surprised']",impressed,
hit:1016_conv:2032,annoyed,"['annoyed', 'sad', 'understanding']",annoyed,1.0
hit:10326_conv:20653,apprehensive,"['hopeful', ' content', ' anxious']",hopeful,
hit:11729_conv:23459,embarrassed,"['embarrassed', 'sad', 'surprised']",embarrassed,1.0
hit:2144_conv:4289,joyful,"['nostalgic', ' jealous', ' hopeful']",nostalgic,
hit:5115_conv:10230,confident,"['excited', 'hopeful', 'proud']",excited,
hit:6996_conv:13992,faithful,"['excited', 'hopeful', 'amused']",excited,
hit:8872_conv:17745,prepared,"['proud', 'hopeful', 'annoyed']",proud,
hit:10165_conv:20330,sentimental,"['sentimental', ' nostalgic', ' joyful']",sentimental,1.0
hit:1337_conv:2674,angry,"['angry', 'annoyed', 'frustrated']",angry,1.0
hit:2144_conv:4289,joyful,"['happy', 'content', 'anticipating']",happy,
hit:2232_conv:4464,hopeful,"['hopeful', 'anxious', 'confident']",hopeful,1.0
hit:3882_conv:7764,caring,"['grateful', ' proud', ' loving']",grateful,
hit:4830_conv:9661,hopeful,"['excited', 'hopeful', 'confident']",excited,2.0
hit:7333_conv:14667,excited,"['excited', 'hopeful', 'content']",excited,1.0
hit:8819_conv:17639,terrified,"['terrified', ' anxious', ' afraid']",terrified,1.0
hit:11889_conv:23778,terrified,"['afraid', 'terrified', 'anxious']",afraid,2.0
hit:4546_conv:9092,content,"['excited', ' joyful', ' proud']",excited,
hit:5220_conv:10441,proud,"['proud', ' amazed', ' sympathetic']",proud,1.0
hit:5523_conv:11046,disappointed,"['disappointed', 'sad', 'worthless']",disappointed,1.0
hit:7333_conv:14667,excited,"['excited', ' hopeful', ' curious']",excited,1.0
hit:8062_conv:16125,guilty,"['ashamed', 'anxious', 'confident']",ashamed,
hit:8338_conv:16677,hopeful,"['excited', 'hopeful', 'confident']",excited,2.0
hit:1060_conv:2120,disgusted,"['angry', 'sad', 'annoyed']",angry,
hit:12002_conv:24004,content,"['happy', ' content', ' hopeful']",happy,2.0
hit:4304_conv:8609,furious,"['angry', 'annoyed', 'disgusted']",angry,
hit:5008_conv:10017,trusting,"['grateful', 'trusting', 'hopeful']",grateful,2.0
hit:5220_conv:10441,proud,"['proud', 'sad', 'grateful']",proud,1.0
hit:6028_conv:12057,disgusted,"['disgusted', 'surprised', 'annoyed']",disgusted,1.0
hit:6260_conv:12521,annoyed,"['anxious', 'annoyed', 'content']",anxious,2.0
hit:7434_conv:14868,prepared,"['proud', 'confident', 'hopeful']",proud,
hit:11701_conv:23402,surprised,"['grateful', 'surprised', 'excited']",grateful,2.0
hit:12002_conv:24004,content,"['grateful', ' content', ' envious']",grateful,2.0
hit:12397_conv:24794,jealous,"['excited', 'hopeful', 'jealous']",excited,3.0
hit:4438_conv:8876,anxious,"['disappointed', 'sad', 'regretful']",disappointed,
hit:4661_conv:9322,angry,"['annoyed', ' disappointed', ' frustrated']",annoyed,
hit:5513_conv:11027,afraid,"['afraid', 'terrified', 'anxious']",afraid,1.0
hit:6119_conv:12238,grateful,"['happy', ' nostalgic', ' excited']",happy,
hit:7113_conv:14227,content,"['happy', 'content', 'surprised']",happy,2.0
hit:11756_conv:23513,jealous,"['excited', ' impressed', ' disappointed']",excited,
hit:2666_conv:5332,guilty,"['worried', 'guilty', 'surprised']",worried,2.0
hit:3451_conv:6902,hopeful,"['excited', 'hopeful', 'grateful']",excited,2.0
hit:4494_conv:8989,terrified,"['anxious', 'afraid', 'hopeful']",anxious,
hit:4661_conv:9322,angry,"['proud', ' hopeful', ' trusting']",proud,
hit:6242_conv:12484,apprehensive,"['anxious', ' hopeful', ' worried']",anxious,
hit:7736_conv:15473,prepared,"['excited', ' prepared', ' hopeful']",excited,2.0
hit:9724_conv:19448,excited,"['excited', 'hopeful', 'anticipating']",excited,1.0
hit:1368_conv:2736,surprised,"['terrified', 'anxious', 'surprised']",terrified,3.0
hit:1441_conv:2882,content,"['content', 'grateful', 'hopeful']",content,1.0
hit:2237_conv:4475,embarrassed,"['disappointed', ' embarrassed', ' frustrated']",disappointed,2.0
hit:2666_conv:5332,guilty,"['ashamed', 'guilty', 'sad']",ashamed,2.0
hit:4129_conv:8259,angry,"['angry', 'frustrated', 'annoyed']",angry,1.0
hit:4729_conv:9459,disgusted,"['disgusted', ' relieved', ' grateful']",disgusted,1.0
hit:6423_conv:12847,grateful,"['proud', ' excited', ' hopeful']",proud,
hit:10520_conv:21040,trusting,"['relieved', 'content', 'grateful']",relieved,
hit:10554_conv:21108,trusting,"['worried', ' hesitant', ' caring']",worried,
hit:113_conv:227,embarrassed,"['embarrassed', 'impressed', 'sad']",embarrassed,1.0
hit:1427_conv:2855,content,"['proud', ' relieved', ' hopeful']",proud,
hit:2077_conv:4155,trusting,"['grateful', ' hopeful', ' caring']",grateful,
hit:4129_conv:8259,angry,"['content', 'agreeing', 'satisfied']",content,
hit:8121_conv:16242,terrified,"['afraid', 'lonely', 'anxious']",afraid,
hit:8126_conv:16252,anticipating,"['anxious', 'nervous', 'grateful']",anxious,
hit:8929_conv:17859,apprehensive,"['anxious', 'sad', 'disappointed']",anxious,
hit:10554_conv:21108,trusting,"['grateful', ' hopeful', ' caring']",grateful,
hit:1292_conv:2584,prepared,"['proud', ' nostalgic', ' grateful']",proud,
hit:2251_conv:4503,trusting,"['proud', 'trustworthy', 'disappointed']",proud,
hit:3136_conv:6272,angry,"['annoyed', 'angry', 'frustrated']",annoyed,2.0
hit:3238_conv:6476,lonely,"['lonely', 'sad', 'hopeful']",lonely,1.0
hit:3969_conv:7939,excited,"['excited', 'hopeful', 'content']",excited,1.0
hit:6332_conv:12664,lonely,"['lonely', 'sad', 'disappointed']",lonely,1.0
hit:7376_conv:14752,terrified,"['afraid', ' relieved', ' grateful']",afraid,
hit:10884_conv:21769,disgusted,"['disgusted', 'annoyed', 'surprised']",disgusted,1.0
hit:1211_conv:2422,nostalgic,"['nostalgic', ' annoyed', ' hopeful']",nostalgic,1.0
hit:1292_conv:2584,prepared,"['nostalgic', 'sad', 'content']",nostalgic,
hit:1780_conv:3560,confident,"['afraid', 'devastated', 'sad']",afraid,
hit:26_conv:53,annoyed,"['angry', ' disappointed', ' betrayed']",angry,
hit:4979_conv:9958,prepared,"['proud', 'excited', 'surprised']",proud,
hit:5198_conv:10396,afraid,"['anxious', 'terrified', 'surprised']",anxious,
hit:6804_conv:13608,grateful,"['proud', 'hopeful', 'joyful']",proud,
hit:10146_conv:20293,nostalgic,"['nostalgic', 'happy', 'sad']",nostalgic,1.0
hit:11017_conv:22034,apprehensive,"['excited', 'hopeful', 'grateful']",excited,
hit:12228_conv:24456,annoyed,"['annoyed', 'disgusted', 'afraid']",annoyed,1.0
hit:1780_conv:3560,confident,"['prepared', 'anxious', 'hopeful']",prepared,
hit:6213_conv:12426,surprised,"['excited', ' hopeful', ' grateful']",excited,
hit:7581_conv:15162,caring,"['happy', 'content', 'excited']",happy,
hit:9731_conv:19462,caring,"['caring', 'grateful', 'sad']",caring,1.0
hit:1292_conv:2585,angry,"['angry', 'disgusted', 'sad']",angry,1.0
hit:5132_conv:10264,sad,"['sad', ' nostalgic', ' disappointed']",sad,1.0
hit:5550_conv:11101,afraid,"['scared', 'annoyed', 'grateful']",scared,
hit:8093_conv:16186,angry,"['sad', 'anxious', 'frustrated']",sad,
hit:8638_conv:17276,guilty,"['guilty', 'sad', 'grateful']",guilty,1.0
hit:904_conv:1808,sad,"['disappointed', 'sad', 'frustrated']",disappointed,2.0
hit:983_conv:1966,prepared,"['excited', 'prepared', 'hopeful']",excited,2.0
hit:11123_conv:22246,trusting,"['proud', ' hopeful', ' trusting']",proud,3.0
hit:12277_conv:24554,grateful,"['proud', 'hopeful', 'content']",proud,
hit:2230_conv:4460,joyful,"['happy', 'grateful', 'content']",happy,
hit:744_conv:1488,angry,"['disgusted', 'sad', 'disappointed']",disgusted,
hit:8171_conv:16343,angry,"['anxious', 'annoyed', 'frustrated']",anxious,
hit:8424_conv:16849,excited,"['excited', 'hopeful', 'impressed']",excited,1.0
hit:8638_conv:17276,guilty,"['grateful', ' hopeful', ' proud']",grateful,
hit:9728_conv:19456,lonely,"['content', 'joyful', 'trusting']",content,
hit:10597_conv:21194,prepared,"['prepared', 'content', 'hopeful']",prepared,1.0
hit:3148_conv:6297,disappointed,"['anxious', ' disappointed', ' embarrassed']",anxious,2.0
hit:3920_conv:7841,content,"['excited', 'hopeful', 'content']",excited,3.0
hit:6466_conv:12932,angry,"['angry', 'annoyed', 'frustrated']",angry,1.0
hit:7729_conv:15459,hopeful,"['excited', ' proud', ' hopeful']",excited,3.0
hit:9234_conv:18469,terrified,"['afraid', 'excited', 'anxious']",afraid,
hit:9361_conv:18723,prepared,"['hopeful', 'prepared', 'confident']",hopeful,2.0
hit:11461_conv:22922,anxious,"['anxious', 'hopeful', 'excited']",anxious,1.0
hit:2852_conv:5704,angry,"['devastated', 'sad', 'angry']",devastated,3.0
hit:3671_conv:7342,impressed,"['proud', 'excited', 'hopeful']",proud,
hit:5046_conv:10093,apprehensive,"['anxious', 'annoyed', 'prepared']",anxious,
hit:645_conv:1291,joyful,"['excited', ' proud', ' hopeful']",excited,
hit:7474_conv:14948,surprised,"['grateful', 'surprised', 'hopeful']",grateful,2.0
hit:7729_conv:15459,hopeful,"['hopeful', 'confident', 'excited']",hopeful,1.0
hit:8642_conv:17285,prepared,"['excited', ' hopeful', ' proud']",excited,
hit:1954_conv:3908,annoyed,"['angry', 'annoyed', 'frustrated']",angry,2.0
hit:2781_conv:5562,jealous,"['jealous', ' lonely', ' disappointed']",jealous,1.0
hit:2954_conv:5909,nostalgic,"['nostalgic', 'hopeful', 'content']",nostalgic,1.0
hit:3265_conv:6531,excited,"['excited', 'anticipating', 'hopeful']",excited,1.0
hit:4804_conv:9608,angry,"['annoyed', 'excited', 'sad']",annoyed,
hit:5091_conv:10183,ashamed,"['guilty', 'anxious', 'disgusted']",guilty,
hit:6099_conv:12199,sad,"['sad', 'hopeful', 'lonely']",sad,1.0
hit:8642_conv:17285,prepared,"['excited', ' proud', ' hopeful']",excited,
hit:12303_conv:24607,surprised,"['afraid', 'angry', 'sad']",afraid,
hit:2328_conv:4656,lonely,"['sad', 'lonely', 'disappointed']",sad,2.0
hit:3012_conv:6025,anticipating,"['excited', ' hopeful', ' grateful']",excited,
hit:3830_conv:7660,grateful,"['grateful', 'sad', 'content']",grateful,1.0
hit:3928_conv:7856,proud,"['excited', 'proud', 'hopeful']",excited,2.0
hit:5091_conv:10183,ashamed,"['excited', ' proud', ' amused']",excited,
hit:5956_conv:11913,joyful,"['proud', 'excited', 'hopeful']",proud,
hit:10305_conv:20610,apprehensive,"['anxious', 'sad', 'guilty']",anxious,
hit:12067_conv:24134,terrified,"['afraid', 'surprised', 'anxious']",afraid,
hit:12349_conv:24698,proud,"['proud', 'excited', 'hopeful']",proud,1.0
